Unnamed: 0,序号,零件号,零件名称,车型项目,零件重量(KG),零件尺寸L,零件尺寸W,零件尺寸H,包装等级分类,单车用量,零件质量要求,包装袋情况,干燥剂情况
,249.0,HQY68902L2,金属卡子,97X-LC-C项目,0.002,30.0,30.0,0.0,C,19.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,250.0,H97B1104012BA,清洁空气导管,97X-LC-C项目,0.17,500.0,100.0,50.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,251.0,H97C1103009EA,油箱隔热板,97X-LC-C项目,0.2,547.0,412.0,128.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,252.0,H97A5511041AAJK05,左前门框上装饰件总成,97X-LC-C项目,0.24,986.0,451.0,198.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,253.0,H97X2410007XA,后底盘模块总成,97X-LC-C项目,0,0.0,0.0,0.0,A,1.0,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,防锈袋,有
,254.0,H97A3716011AB,左后组合灯固定侧侧板,97X-LC-C项目,0.08,160.0,110.0,135.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,255.0,H97D5206005AA,左后角窗玻璃总成,97X-LC-C项目,1.2275,430.0,395.0,4.0,B,1.0,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,,
,256.0,H97A8404006AA,紧急开启把手,97X-LC-C项目,0.002,13.0,5.0,5.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,257.0,H97Y8230007AAJE01,驾驶位安全气囊模块,97X-LC-C项目,1.04,135.0,135.0,135.0,C,1.0,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,,
,258.0,H97A8402035AA,发动机罩锁总成,97X-LC-C项目,0.456,110.0,94.0,30.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,259.0,Q67640,B型蜗杆传动式软管环箍,97X-LC-C项目,0.0203,14.0,38.0,45.0,C,2.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,260.0,HQY1851285T10L1D,六角法兰面螺栓,97X-LC-C项目,0.093,97.0,25.0,25.0,C,2.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,261.0,H97A5207011AA,加液管总成,97X-LC-C项目,0.1136,510.0,260.0,90.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,262.0,H97D1303034AB,高温散热器进水管,97X-LC-C项目,0.256,260.0,200.0,100.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,263.0,HQY1470616T8X1,十字槽六角头法兰面螺栓,97X-LC-C项目,0.0062,20.0,10.0,10.0,C,40.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,264.0,H97D7003004BBUK02,后排座椅坐垫合件,97X-LC-C项目,N,1330.0,640.0,220.0,B,1.0,1. 核心防护：防污损、防变形、防划伤；2. 结构要求：骨架无变形，面料无破损；3. 功能要求：调节机构灵活，无卡滞；4. 外观要求：面料无污渍，缝线整齐,,
,265.0,HQY2150615T8N2S,内六角花形盘头螺钉,97X-LC-C项目,0.0072,25.0,6.0,6.0,C,20.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,266.0,H97A5533005AA,后吹足管道分风器总成,97X-LC-C项目,0.06,189.0,174.0,73.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,267.0,HQY37206135,六角平头铆螺母,97X-LC-C项目,0.0045,15.0,14.0,14.0,C,6.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,268.0,H97A2803007AD,前保险杠中间支架,97X-LC-C项目,0.689,1058.0,171.0,114.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,269.0,H97A5601030AF,后围板焊接总成,97X-LC-C项目,5.39(±8%),1500.0,450.0,200.0,A,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,防锈袋,有
,270.0,H97D3746002AA,玻璃升降器开关,97X-LC-C项目,0.0356,50.0,31.0,53.0,C,3.0,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,,
,271.0,H97C5505005XAAG10,副仪表板,97X-LC-C项目,6.05,1060.0,326.0,442.0,B,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,272.0,HQY37605,密封卡扣,97X-LC-C项目,0.001,18.0,18.0,17.0,C,48.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,273.0,H97A5520097AA,行李箱左后绳钩装饰件,97X-LC-C项目,0.016,70.0,60.0,50.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,274.0,5205203-RA01,右前刮片总成,97X-LC-C项目,0.08,455.0,40.0,32.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,275.0,H97A1104004AB,燃油加油管软管,97X-LC-C项目,0.135,199.0,47.0,350.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,276.0,H97D1109016AA,空滤器支撑3,97X-LC-C项目,0.045,81.0,48.0,8.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,277.0,H56A6109003AA,车门缓冲块,97X-LC-C项目,0.003,20.0,10.0,10.0,C,4.0,1. 核心防护：防老化、防挤压、防变形；2. 材质要求：无裂纹、无异味、无破损；3. 尺寸要求：关键尺寸偏差≤±1.0mm；4. 性能要求：弹性符合设计标准,,
,278.0,H97A5505022AABEGA,右前延伸板总成,97X-LC-C项目,0.365,920.0,272.0,109.0,B,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,279.0,H97A5301021AB,水箱上横梁左安装板,97X-LC-C项目,0.414（±8%）,435.0,325.0,210.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,280.0,H97E5001055AA,GCU安装托盘总成,97X-LC-C项目,1.931,500.0,320.0,220.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,281.0,HQY2600821T8X2DS,内六角盘头螺钉和平垫圈组合件,97X-LC-C项目,0.01,30.0,20.0,20.0,C,4.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,282.0,HQ1840618,六角法兰面螺栓,97X-LC-C项目,0.0066,18.0,6.0,6.0,C,2.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,283.0,H97D3724118AA,右后门饰板线束总成,97X-LC-C项目,N,945.0,50.0,50.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,284.0,H97A5533004AA,右后吹足管道中段总成,97X-LC-C项目,2.88,323.0,223.0,36.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,285.0,H97A1104015AA,燃油蒸汽管总成,97X-LC-C项目,0.102,500.0,200.0,100.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,286.0,H97B2902010AC,右前空气弹簧支柱总成,97X-LC-C项目,13.2,780.0,350.0,250.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,287.0,Q673C23F62B,B型钢带式弹性软管夹箍,97X-LC-C项目,0.009,39.0,12.0,23.0,C,7.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,288.0,H97D5001230AA,蓄电池固定带总成,97X-LC-C项目,0.257,216.0,83.0,27.0,C,1.0,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,,
,289.0,HQ33008,全金属六角法兰面锁紧螺母,97X-LC-C项目,0.008,9.0,18.0,18.0,C,5.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,290.0,H97A3711002BG,右前照灯,97X-LC-C项目,4.7,526.0,314.0,290.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,291.0,H97A5701008AB,顶盖外板,97X-LC-C项目,9.191,2210.0,1200.0,190.0,A,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,292.0,H97A3718001BA,行李箱左照明灯,97X-LC-C项目,0.026,203.0,22.0,19.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,293.0,H97A1103001AA,油箱盖总成,97X-LC-C项目,0.06,221.0,75.0,75.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,294.0,H97A5515013ABBKGA,背门门槛护板总成,97X-LC-C项目,0.63,1000.0,192.0,118.0,B,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,295.0,H97A5020001AB,前机舱封板左加强板总成,97X-LC-C项目,3.346(±8%),870.0,450.0,150.0,A,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,防锈袋,有
,296.0,6206600-RA01,后门上铰链总成（右）,97X-LC-C项目,N,90.0,60.0,60.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,297.0,H97A5520111AC,左后侧围下部安装支架,97X-LC-C项目,0.749,832.0,149.0,89.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,298.0,H97A6203011AA,左后门玻璃导槽总成,97X-LC-C项目,0.898,850.0,620.0,35.0,B,1.0,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,,
,299.0,H97A5526007AAGZS1,后排左安全拉手,97X-LC-C项目,0.13,220.0,69.0,30.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,300.0,H37A5001226BA,蓄电池撑杆,97X-LC-C项目,0.046,211.0,17.0,6.0,C,2.0,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,,
,301.0,H97C1303140AA,中冷低温散热器进水管,97X-LC-C项目,0.221,241.0,286.0,369.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,302.0,HQY1861490T10L1QD,带导向六角法兰面螺栓,97X-LC-C项目,0.154,90.0,14.0,14.0,C,2.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,303.0,H97X5200005AA,前风窗玻璃总成,97X-LC-C项目,4.249,1502.0,967.0,4.0,A,1.0,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,PE袋,无
,304.0,H97D9325018BA,前PDU高压线束总成,97X-LC-C项目,3.47,1580.0,80.0,50.0,C,1.0,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,,
,305.0,HQ1840816T10L2,六角法兰面螺栓,97X-LC-C项目,0.2,125.0,33.0,33.0,C,4.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,306.0,H97A5520075ACTE15,左A柱上饰板总成,97X-LC-C项目,0.42,728.0,167.0,88.0,B,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,307.0,H56A1300014AA,插销式尼龙双管夹,97X-LC-C项目,0.02,90.0,16.0,55.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,308.0,H97C3629002AA,USB充电器,97X-LC-C项目,0.12,36.0,82.0,95.0,C,1.0,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,,
,309.0,Q2734216,十字槽大半圆头自攻螺钉-C型,97X-LC-C项目,0.01,20.0,10.0,10.0,C,11.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,310.0,H973602003,门压力传感器,97X-LC-C项目,0.02,45.0,45.0,30.0,C,2.0,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,,
,311.0,H97A5525006AAGZS1,右遮阳板底座盖板,97X-LC-C项目,0.005,76.0,39.0,9.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,312.0,H97A3506014AA,四通接头,97X-LC-C项目,0.095,66.0,37.0,35.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,313.0,Q2734816,十字槽大半圆头自攻螺钉-C型,97X-LC-C项目,0.01,20.0,10.0,10.0,C,18.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,314.0,H97D8108021DB,电池冷却模块空调管总成,97X-LC-C项目,0.595,450.0,259.0,144.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,315.0,HQY33112T10L1UA,全金属六角法兰面锁紧螺母,97X-LC-C项目,0.038,9.0,18.0,18.0,C,2.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,316.0,H97A8404008AB,加油口盖本体,97X-LC-C项目,0.357,312.0,168.0,90.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,317.0,H97D3101045AAPK01,左后轮眉装饰件总成后段,97X-LC-C项目,0.224,554.0,421.0,65.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,318.0,H97A1141001BA,主储气筒总成,97X-LC-C项目,2.47,774.0,182.0,120.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,319.0,HQY3931301A,E型环,97X-LC-C项目,0.004,30.0,30.0,10.0,C,4.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,320.0,H97A5016007AA,堵盖Φ20,97X-LC-C项目,0.002,28.0,28.0,8.0,C,12.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,321.0,H97A5505021AABEGA,左前延伸板总成,97X-LC-C项目,0.365,920.0,272.0,109.0,B,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,322.0,H97A3718902AC,左后门外开手柄合件,97X-LC-C项目,0.678,430.0,170.0,65.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,323.0,H97Z7903008AB,天线放大器,97X-LC-C项目,0.036,91.0,32.0,17.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,324.0,H97C1104008AB,进油管3号总成,97X-LC-C项目,0.08,695.0,552.0,372.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,325.0,H97A5520125ABBEGA,左B柱下饰板总成,97X-LC-C项目,0.772,1000.0,500.0,100.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,326.0,H97A1113001BB,电动气泵带支架及附件总成,97X-LC-C项目,7.3,414.0,364.0,222.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,327.0,H97X5518900BATE15,顶棚合件,97X-LC-C项目,2.7,2700.0,1200.0,2200.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,328.0,H97C5001028AA,副仪表板后安装支架总成,97X-LC-C项目,0.653,203.0,177.0,110.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,防锈袋,无
,329.0,H97D5006177AA,左翼子板摄像头防护板总成,97X-LC-C项目,0.046,160.0,50.0,40.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,330.0,H97C5533009AA,后吹面风道后部,97X-LC-C项目,0.19,225.0,198.0,227.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,331.0,H97A1105002AA,空气过滤器支架,97X-LC-C项目,0.072,60.0,44.0,52.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,332.0,H97D2800005AD,车架左前段总成,97X-LC-C项目,N,2440.0,1440.0,1010.0,A,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,防锈袋,有
,333.0,H97A6309014AA,背门右撑杆下支架总成-带球头销,97X-LC-C项目,0.08,55.0,38.0,32.0,C,1.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,334.0,H97D3730105AC,后电机搭铁线束,97X-LC-C项目,N,860.0,4.0,4.0,C,1.0,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,,
,335.0,H97A5512911ABBKGA,右后门槛迎宾护板合件,97X-LC-C项目,0.25,483.0,197.0,125.0,B,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,336.0,H97A3923010AC,风扇警示标签,97X-LC-C项目,0.002,84.0,45.0,1.0,C,1.0,1. 核心防护：防磨损、防脱落、防污损；2. 内容要求：字迹清晰，信息完整准确；3. 粘贴要求：粘贴牢固，无气泡、无起翘；4. 耐久性：符合户外使用要求,,
,337.0,H97A8404002AE,充电口盖本体,97X-LC-C项目,0.421,312.0,168.0,90.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,338.0,Q673C23F61,A型钢带式弹性软管夹箍,97X-LC-C项目,0.001,50.0,50.0,30.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,339.0,H97E6207013AA,左后门框密封条总成,97X-LC-C项目,1.194,3353.0,30.0,30.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,340.0,H97A6108010AA,右前门外开手柄壳体,97X-LC-C项目,0.024,220.0,40.0,10.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,341.0,H97D3724115AA,左后门线束总成,97X-LC-C项目,N,1610.0,80.0,50.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,342.0,H97A6104021AA,右前门导轨总成,97X-LC-C项目,0.2174,500.0,150.0,110.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,343.0,H97D3101035AAPK01,左后轮眉装饰件总成前段,97X-LC-C项目,0.199,517.0,165.0,52.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,344.0,H97C3721001AB,低音喇叭,97X-LC-C项目,0.243,124.0,96.0,82.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,345.0,H97A5016006AA,堵盖Φ16,97X-LC-C项目,0.0013,30.0,30.0,10.0,C,19.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
